Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
141.0,6.0,4.0,1.0,460000,False,True,False,False,True,False,False,False,False,48.939482289,2.461086127
82.0,4.0,3.0,1.0,310000,False,True,False,True,False,False,False,False,False,47.811582053,2.79297208
110.0,5.0,4.0,1.0,398000,False,True,False,False,False,False,True,False,False,48.558579656,2.438037857
55.0,2.0,1.0,1.3101736972704714,216000,True,False,False,False,False,True,False,False,False,48.650022012,2.483650956
31.0,1.0,2.541371158392435,1.0,440000,True,False,False,False,False,False,False,True,False,48.86287791,2.3599986
55.0,2.0,1.0,1.3101736972704714,130000,True,False,False,False,True,False,False,False,False,48.741877726,2.449089194
81.0,5.0,3.0,1.0,425000,False,True,False,False,False,False,False,False,True,49.026361092,2.220661508
156.0,7.0,5.0,1.0,599000,False,True,False,False,False,True,False,False,False,48.77621691,2.337698598
62.0,3.0,2.0,1.0,365000,True,False,False,False,False,False,True,False,False,48.798824614,2.494496787
90.0,4.0,1.0,1.0,1600000,True,False,False,False,False,True,False,False,False,48.86287791,2.3599986
137.0,6.0,4.0,2.0,515000,False,True,True,False,False,False,False,False,False,48.999997129,2.098929195
82.0,5.0,3.0,1.0,335000,False,True,False,False,True,False,False,False,False,48.527215604,2.270985877
113.0,5.0,3.0,1.0,520000,False,True,False,False,False,False,True,False,False,48.880113846,1.979320474
32.0,2.0,1.0,1.0,89700,True,False,False,False,False,False,False,True,False,48.65354393,1.82640777
48.0,1.0,1.0,1.0,130000,True,False,False,False,False,False,True,False,False,48.65354393,1.82640777
30.0,2.0,1.0,1.0,150000,True,False,False,False,False,False,True,False,False,48.65354393,1.82640777
19.0,1.0,1.0,1.0,270000,True,False,False,False,False,False,False,True,False,48.86287791,2.3599986
50.0,2.0,1.0,1.3101736972704714,595000,True,False,False,False,False,False,False,True,False,48.86287791,2.3599986
82.0,5.0,3.0,1.0,225000,False,True,False,False,False,False,False,False,True,48.368565322,2.930845994
90.0,5.0,3.0,1.0,395000,False,True,False,False,False,False,False,True,False,48.922750857,2.247051842
33.0,1.0,1.0,1.0,334900,True,False,False,False,False,False,True,False,False,48.86287791,2.3599986
25.0,1.0,1.0,1.0,235000,True,False,False,False,False,False,True,False,False,48.86287791,2.3599986
70.0,4.0,3.0,1.3101736972704714,240000,True,False,False,False,False,False,False,False,True,48.884598329,2.509276261
69.0,3.0,2.0,1.3101736972704714,360000,True,False,False,False,False,True,False,False,False,48.896168757,2.207090178
74.0,4.0,3.0,1.0,230000,True,False,False,False,True,False,False,False,False,48.817396568,2.516989292
140.0,5.0,4.0,1.0,445000,False,True,False,False,False,False,False,True,False,49.037845152,1.937251595
28.0,2.0,1.0,1.3101736972704714,380000,True,False,False,False,False,False,True,False,False,48.86287791,2.3599986
250.0,6.0,4.0,1.0,349000,False,True,False,False,False,True,False,False,False,48.259908672,2.710851154
32.0,1.0,2.541371158392435,1.0,165000,True,False,False,False,False,False,False,False,True,48.819430023,2.609262864
57.0,3.0,2.0,1.0,234000,True,False,False,False,False,False,True,False,False,48.926569957,2.187259332
190.0,7.0,5.0,1.0,380000,False,True,False,False,False,True,False,False,False,48.898918306,2.877889871
67.0,3.0,2.0,1.3101736972704714,635000,True,False,False,False,False,True,False,False,False,48.86287791,2.3599986
150.0,6.0,4.0,1.0,424000,False,True,False,False,False,True,False,False,False,48.958603377,2.96655236
56.0,2.0,1.0,1.3101736972704714,299500,True,False,False,False,False,False,True,False,False,48.893736101,2.105052068
53.0,3.0,2.0,1.0,265000,True,False,False,True,False,False,False,False,False,47.609911576,4.438632153
80.0,4.0,3.0,1.0,65000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
80.0,4.0,3.0,1.0,65000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
